Date,平安银行,万科A,格力电器,华东医药,东方雨虹,宇通客车
2011-11-22,5.501,6.071,7.076,12.959,6.679,6.397
2011-11-23,5.402,6.054,6.978,13.02,7.115,6.242
2011-11-24,5.429,6.19,7.009,13.185,7.063,6.414
2011-11-25,5.412,6.062,6.978,13.185,7.096,6.267
2011-11-28,5.409,6.036,6.978,13.293,6.842,6.601
2011-11-29,5.47,6.122,6.986,13.486,7.226,6.858
2011-11-30,5.316,6.028,6.802,13.335,6.813,6.748
2011-12-01,5.443,6.31,6.927,13.377,7.125,6.818
2011-12-02,5.467,6.301,6.822,13.124,6.722,6.668
2011-12-05,5.467,6.224,6.806,12.978,6.117,6.564
2011-12-06,5.467,6.318,6.822,12.79,6.184,6.575
2011-12-07,5.501,6.335,6.794,13.062,6.29,6.57
2011-12-08,5.463,6.395,6.646,12.832,6.218,6.448
2011-12-09,5.433,6.438,6.478,12.555,6.059,6.38
2011-12-12,5.429,6.233,6.407,13.02,6.112,6.335
2011-12-13,5.374,6.122,6.411,13.119,6.074,6.369
2011-12-14,5.347,6.062,6.415,12.837,5.579,6.414
2011-12-15,5.158,6.156,6.447,12.884,5.339,6.53
2011-12-16,5.237,6.344,6.658,13.062,5.872,6.753
2011-12-19,5.261,6.344,6.626,13.345,6.117,6.776
2011-12-20,5.254,6.404,6.646,13.349,5.987,6.544
2011-12-21,5.258,6.233,6.716,13.354,5.954,6.555
2011-12-22,5.295,6.335,6.744,13.345,6.165,6.626
2011-12-23,5.285,6.455,6.826,13.377,6.333,6.668
2011-12-26,5.285,6.429,6.724,13.288,6.246,6.725
2011-12-27,5.306,6.293,6.642,12.837,5.747,6.629
2011-12-28,5.244,6.267,6.497,12.691,5.91,6.57
2011-12-29,5.247,6.258,6.595,12.705,5.81,6.516
2011-12-30,5.343,6.378,6.759,12.517,5.877,6.685
2012-01-04,5.196,6.258,6.841,12.037,5.93,6.567
2012-01-05,5.275,6.19,6.931,11.624,5.507,6.51
2012-01-06,5.261,6.113,6.834,11.694,5.598,6.389
2012-01-09,5.409,6.327,7.158,11.953,5.877,6.595
2012-01-10,5.409,6.429,7.271,12.254,6.098,6.798
2012-01-11,5.409,6.369,7.017,12.174,6.093,6.906
2012-01-12,5.409,6.421,6.861,11.957,6.002,6.909
2012-01-13,5.409,6.369,6.861,11.52,5.718,6.773
2012-01-16,5.409,6.293,6.861,10.815,5.646,6.612
2012-01-17,5.409,6.472,6.861,11.323,5.954,6.866
2012-01-18,5.409,6.412,6.923,10.345,5.637,6.798
2012-01-19,5.409,6.651,7.26,10.293,5.478,6.979
2012-01-20,5.751,6.745,7.338,10.74,5.56,6.988
2012-01-30,5.727,6.446,7.178,10.815,5.507,7.087
2012-01-31,5.703,6.532,7.115,10.857,5.406,6.979
2012-02-01,5.638,6.455,7.174,10.862,5.281,7.027
2012-02-02,5.799,6.557,7.271,10.895,5.387,7.245
2012-02-03,5.823,6.651,7.291,10.998,5.55,7.203
2012-02-06,5.768,6.506,7.373,11.012,5.608,7.276
2012-02-07,5.686,6.301,7.213,10.81,5.565,7.09
2012-02-08,5.792,6.48,7.365,11.219,5.67,6.954
2012-02-09,5.792,6.574,7.365,11.05,5.723,7.005
2012-02-10,5.796,6.702,7.412,11.059,5.747,6.951
2012-02-13,5.717,6.574,7.299,11.238,5.81,6.951
2012-02-14,5.69,6.574,7.193,11.384,5.766,6.951
2012-02-15,5.696,6.677,7.224,11.567,5.858,6.951
2012-02-16,5.638,6.651,7.287,11.609,5.742,6.951
2012-02-17,5.638,6.651,7.283,11.595,5.723,6.951
2012-02-20,5.638,6.685,7.436,11.52,5.723,6.951
2012-02-21,5.652,6.762,7.619,11.511,5.838,7.223
2012-02-22,5.696,6.993,7.729,11.642,5.982,7.423
2012-02-23,5.7,6.993,7.698,11.816,5.93,7.36
2012-02-24,5.782,7.266,7.78,11.943,6.074,7.329
2012-02-27,5.799,7.326,7.858,12.225,6.002,7.426
2012-02-28,5.912,7.274,7.76,11.943,5.92,7.823
2012-02-29,5.861,7.07,7.787,11.727,5.795,7.789
2012-03-01,5.906,7.087,8.034,11.52,5.824,7.936
2012-03-02,5.991,7.368,8.292,11.595,5.934,7.973
2012-03-05,5.919,7.266,8.206,11.379,5.862,7.673
2012-03-06,5.81,7.198,8.237,11.332,5.958,7.804
2012-03-07,5.758,7.198,8.292,11.323,5.934,7.886
2012-03-08,5.837,7.351,8.319,11.44,6.386,7.901
2012-03-09,5.782,7.343,8.444,11.652,6.448,7.948
2012-03-12,5.724,7.129,8.315,12.075,6.39,8.12
2012-03-13,5.775,7.274,8.323,11.99,6.472,8.039
2012-03-14,5.648,7.078,8.053,11.986,6.011,7.661
2012-03-15,5.57,7.01,8.034,12.602,5.824,7.564
2012-03-16,5.621,7.061,8.092,12.752,5.958,7.642
2012-03-19,5.604,7.018,7.983,12.602,6.059,7.595
2012-03-20,5.508,6.976,7.995,12.282,5.872,7.457
2012-03-21,5.518,6.984,7.999,12.225,5.891,7.592
2012-03-22,5.549,7.027,8.065,12.108,5.91,7.689
2012-03-23,5.487,6.933,7.995,12.061,5.579,7.467
2012-03-26,5.498,6.848,8.124,11.939,5.512,7.595
2012-03-27,5.508,6.848,8.045,11.896,5.512,7.804
2012-03-28,5.409,6.831,7.705,11.666,5.301,7.511
2012-03-29,5.337,6.993,7.784,11.84,5.262,7.698
2012-03-30,5.385,7.07,7.948,11.708,5.094,7.592
2012-04-05,5.395,7.138,8.155,11.873,5.229,7.867
2012-04-06,5.481,7.155,8.147,11.798,5.334,7.861
2012-04-09,5.398,7.018,8.19,11.581,5.272,7.992
2012-04-10,5.443,7.189,8.311,11.52,5.344,8.076
2012-04-11,5.426,7.249,8.401,11.393,5.32,8.223
2012-04-12,5.597,7.411,8.444,11.633,5.416,8.289
2012-04-13,5.587,7.326,8.495,11.501,5.421,8.201
2012-04-16,5.546,7.317,8.483,11.689,5.406,8.408
2012-04-17,5.481,7.146,8.229,11.826,5.267,8.289
2012-04-18,5.573,7.377,8.448,11.798,5.421,8.314
2012-04-19,5.607,7.334,8.37,11.84,5.373,8.311
2012-04-20,5.683,7.377,8.444,11.807,5.829,8.311
2012-04-23,5.628,7.343,8.425,12.155,5.906,8.117
2012-04-24,5.744,7.368,8.268,12.08,5.723,7.986
2012-04-25,5.779,7.582,8.417,12.075,5.853,8.089
2012-04-26,5.683,7.642,8.432,11.929,5.766,7.907
2012-04-27,5.676,7.667,8.558,11.943,5.656,8.001
2012-05-02,5.751,7.872,8.667,12.348,5.632,8.001
2012-05-03,5.7,7.718,8.593,12.696,5.598,7.667
2012-05-04,5.727,7.872,8.62,12.813,5.622,7.654
2012-05-07,5.69,7.744,8.706,12.973,5.906,7.567
2012-05-08,5.669,7.718,8.667,12.827,5.8,7.573
2012-05-09,5.539,7.625,8.569,12.649,5.843,7.595
2012-05-10,5.529,7.625,8.589,12.921,5.771,7.507
2012-05-11,5.491,7.625,8.444,13.001,5.762,7.295
2012-05-14,5.463,7.616,8.331,13.001,5.766,7.402
2012-05-15,5.491,7.607,8.565,12.931,5.858,7.446
2012-05-16,5.402,7.351,8.425,13.044,5.762,7.459
2012-05-17,5.463,7.411,8.522,13.175,5.848,7.589
2012-05-18,5.388,7.326,8.456,12.799,5.617,7.503
2012-05-21,5.405,7.403,8.495,13.114,5.603,7.513
2012-05-22,5.474,7.693,8.581,13.345,5.694,7.551
2012-05-23,5.474,7.727,8.581,13.171,5.608,7.608
2012-05-24,5.385,7.616,8.495,13.147,5.565,7.598
2012-05-25,5.354,7.556,8.495,13.208,5.776,7.139
2012-05-28,5.419,7.829,8.593,13.166,6.179,7.206
2012-05-29,5.46,7.915,8.69,13.072,6.218,7.377
2012-05-30,5.381,7.949,8.737,12.926,6.218,7.481
2012-05-31,5.378,7.898,8.913,12.931,6.626,7.339
2012-06-01,5.409,7.812,8.827,13.307,6.52,7.383
2012-06-04,5.278,7.718,8.769,12.978,6.424,7.465
2012-06-05,5.23,7.778,8.644,13.072,6.496,7.538
2012-06-06,5.251,7.667,8.612,13.236,6.434,7.507
2012-06-07,5.213,7.65,8.366,13.377,6.583,7.421
2012-06-08,5.076,7.616,8.241,13.396,6.491,7.393
2012-06-11,5.069,7.855,8.378,13.537,6.539,7.643
2012-06-12,4.98,7.872,8.487,13.871,6.722,7.564
2012-06-13,5.086,7.915,8.581,13.899,6.866,7.63
2012-06-14,5.018,7.923,8.425,13.871,6.794,7.788
2012-06-15,5.196,7.778,8.55,13.871,6.683,7.757
2012-06-18,5.213,7.847,8.581,14.055,6.746,7.757
2012-06-19,5.227,7.736,8.464,14.083,6.856,7.437
2012-06-20,5.22,7.71,8.425,13.801,6.803,7.424
2012-06-21,5.107,7.71,8.479,13.862,6.856,7.415
2012-06-25,5.062,7.471,8.307,13.848,6.645,7.241
2012-06-26,5.107,7.642,8.28,13.777,6.559,7.219
2012-06-27,5.093,7.642,8.053,13.448,6.506,7.219
2012-06-28,5.049,7.556,8.128,13.448,6.39,7.048
2012-06-29,5.196,7.607,8.151,14.2,6.53,7.108
2012-07-02,5.193,7.667,8.124,14.666,6.112,6.953
2012-07-03,5.186,7.787,8.444,14.812,6.146,7.035
2012-07-04,5.237,7.778,8.366,14.671,6.213,7.165
2012-07-05,5.206,8.047,8.405,14.595,6.039,7.19
2012-07-06,5.189,8.359,8.581,14.99,6.184,7.177
2012-07-09,5.042,8.367,8.553,14.812,6.233,7.165
2012-07-10,5.11,8.263,8.581,14.934,6.247,7.288
2012-07-11,5.093,8.142,8.621,15.141,6.242,7.418
2012-07-12,5.1,8.341,8.625,15.268,6.17,7.424
2012-07-13,5.134,8.54,8.849,15.705,5.899,7.285
2012-07-16,5.09,8.428,8.717,15.381,5.57,6.988
2012-07-17,5.151,8.489,8.877,15.395,5.778,7.045
2012-07-18,5.145,8.168,8.777,15.094,5.768,6.997
2012-07-19,5.148,8.177,8.701,15.272,5.783,7.086
2012-07-20,5.09,8.055,8.601,15.752,5.749,7.086
2012-07-23,5.076,7.977,8.545,15.418,5.792,6.981
2012-07-24,5.073,8.081,8.513,15.277,5.778,6.988
2012-07-25,5.018,7.882,8.537,15.423,5.773,7.054
2012-07-26,5.021,7.718,8.489,15.362,5.87,6.934
2012-07-27,5.056,7.778,8.397,14.976,5.802,7.022
2012-07-30,5.09,7.796,8.489,14.901,5.667,7.089
2012-07-31,5.175,7.995,8.701,14.699,5.584,7.215
2012-08-01,5.196,8.081,8.717,14.967,5.734,7.358
2012-08-02,5.196,7.536,8.465,15.653,5.628,7.329
2012-08-03,5.193,7.536,8.389,16.786,5.686,7.304
2012-08-06,5.175,7.588,8.445,17.022,5.763,7.333
2012-08-07,5.127,7.648,8.409,16.551,5.889,7.276
2012-08-08,5.155,7.735,8.265,16.434,5.85,7.219
2012-08-09,5.155,7.796,8.449,16.739,5.894,7.32
2012-08-10,5.169,7.614,8.389,16.928,5.879,7.244
2012-08-13,5.151,7.293,8.213,16.725,5.87,7.272
2012-08-14,5.23,7.432,8.213,16.152,5.85,7.209
2012-08-15,5.175,7.423,8.205,16.236,5.691,7.073
2012-08-16,5.11,7.484,8.337,15.569,5.86,7.136
2012-08-17,5.162,7.458,8.345,15.649,5.86,7.082
2012-08-20,5.09,7.362,8.209,16.152,6.059,7.026
2012-08-21,5.069,7.207,8.173,16.312,6.117,7.209
2012-08-22,5.028,7.051,7.921,16.133,6.46,7.348
2012-08-23,5.011,7.025,7.969,16.396,6.392,7.393
2012-08-24,4.925,7.033,8.057,16.316,6.46,7.285
2012-08-27,4.836,6.999,8.121,16.1,6.068,7.25
2012-08-28,4.925,6.929,8.237,15.898,6.049,7.418
2012-08-29,4.894,6.903,8.145,15.94,6.417,7.367
2012-08-30,4.894,6.921,8.089,15.409,6.378,7.364
2012-08-31,4.864,6.947,8.193,15.536,6.281,7.345
2012-09-03,4.87,7.181,8.329,16.641,6.475,7.266
2012-09-04,4.754,7.129,8.305,16.119,6.339,7.367
2012-09-05,4.668,7.207,8.385,15.62,6.286,7.611
2012-09-06,4.706,7.233,8.397,15.616,6.383,7.564
2012-09-07,4.87,7.449,8.585,16.081,6.804,7.706
2012-09-10,4.822,7.458,8.649,16.091,7.128,7.652
2012-09-11,4.805,7.345,8.565,16.462,6.944,7.576
2012-09-12,4.792,7.319,8.469,16.565,7.012,7.602
2012-09-13,4.761,7.293,8.397,16.269,6.857,7.57
2012-09-14,4.816,7.224,8.381,16.542,6.813,7.592
2012-09-17,4.699,6.981,8.253,16.457,6.615,7.424
2012-09-18,4.631,6.938,8.253,16.669,6.673,7.333
2012-09-19,4.572,6.964,8.325,16.415,6.775,7.32
2012-09-20,4.459,6.773,8.205,15.987,6.871,7.269
2012-09-21,4.415,6.765,8.161,15.94,6.63,7.304
2012-09-24,4.425,6.834,8.165,15.996,6.688,7.351
2012-09-25,4.367,6.851,8.165,16.105,6.852,7.285
2012-09-26,4.332,6.747,8.177,15.996,6.804,7.181
2012-09-27,4.466,7.111,8.417,16.109,6.838,7.076
2012-09-28,4.5,7.302,8.557,16.222,6.862,6.889
2012-10-08,4.442,7.068,8.441,16.222,6.862,6.855
2012-10-09,4.555,7.241,8.657,16.645,6.862,6.924
2012-10-10,4.555,7.241,8.665,17.125,6.862,7.016
2012-10-11,4.531,7.181,8.589,16.786,6.925,6.912
2012-10-12,4.555,7.137,8.625,16.645,7.017,6.76
2012-10-15,4.49,7.094,8.685,16.796,6.959,6.836
2012-10-16,4.531,7.085,8.681,16.932,7.041,6.769
2012-10-17,4.579,7.042,8.557,16.946,6.968,6.722
2012-10-18,4.631,7.311,8.689,17.21,6.963,6.867
2012-10-19,4.637,7.293,8.725,16.918,6.91,6.931
2012-10-22,4.651,7.293,8.765,16.928,7.563,6.87
2012-10-23,4.593,7.276,8.629,16.457,7.525,6.836
2012-10-24,4.589,7.302,8.605,16.222,7.317,6.829
2012-10-25,4.561,7.233,8.585,15.747,7.355,6.807
2012-10-26,4.465,7.103,8.461,16.034,7.331,6.76
2012-10-29,4.468,7.12,8.397,15.808,7.351,6.785
2012-10-30,4.52,7.189,8.569,16.246,7.133,6.785
2012-10-31,4.544,7.207,9.242,16.265,7.288,6.747
2012-11-01,4.62,7.44,9.346,16.316,7.36,6.817
2012-11-02,4.672,7.492,9.294,16.222,7.21,6.848
2012-11-05,4.7,7.51,9.322,16.128,7.249,6.908
2012-11-06,4.689,7.458,9.322,15.987,7.273,6.905
2012-11-07,4.679,7.371,9.246,16.076,7.326,6.902
